YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,TOT_HC_REV,TOT_HC_EXP,NONHC_NET,INC_TAX,EXT_ITEM,NET_INCOME
2014,206010749,ST. FRANCIS EXTENDED CARE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,21907,"$5,699,051.00 ","$5,568,433.00 ","($2,374.00)",$0.00 ,$0.00 ,"$128,244.00 "
2013,206010749,ST. FRANCIS EXTENDED CARE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,21336,"$5,328,847.00 ","$5,360,804.00 ","$1,802.00 ",$0.00 ,$0.00 ,"($30,155.00)"
2012,206010749,ST. FRANCIS EXTENDED CARE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,21261,"$5,188,459.00 ","$5,487,904.00 ","$3,197.00 ",$0.00 ,$0.00 ,"($296,248.00)"
2011,206010749,ST. FRANCIS EXTENDED CARE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,21218,"$5,263,895.00 ","$5,086,842.00 ","$3,825.00 ",$0.00 ,$0.00 ,"$180,878.00 "
2015,206010750,HILLTOP CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,22642,"$5,173,744.00 ","$5,823,796.00 ","$3,059.00 ",$800.00 ,$0.00 ,"($647,793.00)"
2014,206010750,HILLTOP CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,22970,"$5,446,866.00 ","$5,818,836.00 ",$762.00 ,$800.00 ,$0.00 ,"($372,008.00)"
2013,206010750,HILLTOP CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,22984,"$5,123,497.00 ","$5,549,695.00 ",$645.00 ,$800.00 ,$0.00 ,"($426,353.00)"
2012,206010750,HILLTOP CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,23376,"$4,865,161.00 ","$5,271,254.00 ",$811.00 ,$800.00 ,$0.00 ,"($406,082.00)"
2011,206010750,HILLTOP CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,24073,"$4,998,104.00 ","$5,759,904.00 ","$1,282.00 ",$800.00 ,$0.00 ,"($761,318.00)"
2015,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12229,"$3,155,986.00 ","$3,076,511.00 ",$120.00 ,$0.00 ,$0.00 ,"$79,595.00 "
2014,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,12846,"$3,175,706.00 ","$3,192,298.00 ","$7,721.00 ",$0.00 ,$0.00 ,"($8,871.00)"
2013,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,12705,"$3,173,350.00 ","$3,240,881.00 ",$24.00 ,$0.00 ,$0.00 ,"($67,507.00)"
2012,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,12844,"$3,536,936.00 ","$3,332,343.00 ","$3,396.00 ",$0.00 ,$0.00 ,"$207,989.00 "
2011,206010757,BERKELEY PINES SKILLED NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,12718,"$3,352,364.00 ","$3,139,562.00 ","($251,312.00)",$0.00 ,$0.00 ,"($38,510.00)"
2015,206010760,BETHESDA HOME,6/1/2014 0:00,5/31/2015 0:00,Alameda,Not-for-Profit,14486,"$3,083,949.00 ","$3,338,485.00 ","$189,577.00 ",$0.00 ,$0.00 ,"($64,959.00)"
2014,206010760,BETHESDA HOME,6/1/2013 0:00,5/31/2014 0:00,Alameda,Not-for-Profit,14484,"$3,144,967.00 ","$3,392,585.00 ","$238,126.00 ",$0.00 ,$0.00 ,"($9,492.00)"
2013,206010760,BETHESDA HOME,6/1/2012 0:00,5/31/2013 0:00,Alameda,Not-for-Profit,14491,"$3,027,878.00 ","$3,230,692.00 ","$123,621.00 ",$0.00 ,$0.00 ,"($79,193.00)"
2012,206010760,BETHESDA HOME,6/1/2011 0:00,5/31/2012 0:00,Alameda,Not-for-Profit,14444,"$3,010,249.00 ","$3,117,377.00 ","$85,040.00 ",$0.00 ,$0.00 ,"($22,088.00)"
2011,206010760,BETHESDA HOME,6/1/2010 0:00,5/31/2011 0:00,Alameda,Not-for-Profit,14446,"$2,877,777.00 ","$3,006,160.00 ","$146,026.00 ",$0.00 ,$0.00 ,"$17,643.00 "
2015,206010770,PROVIDENCE VALLEY POINTE,3/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,12962,"$5,216,653.00 ","$4,868,897.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"$335,166.00 "
2014,206010770,PROVIDENCE VALLEY POINTE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,15948,"$5,379,146.00 ","$5,565,362.00 ","$12,226.00 ",$800.00 ,$0.00 ,"($174,790.00)"
2013,206010770,PROVIDENCE VALLEY POINTE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,15480,"$5,550,413.00 ","$5,372,937.00 ",$555.00 ,$800.00 ,$0.00 ,"$177,231.00 "
2012,206010770,PROVIDENCE VALLEY POINTE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,15639,"$5,197,888.00 ","$4,991,643.00 ","$3,312.00 ",$800.00 ,$0.00 ,"$208,757.00 "
2011,206010770,PROVIDENCE VALLEY POINTE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,16748,"$4,964,457.00 ","$4,891,045.00 ","$1,870.00 ",$800.00 ,$0.00 ,"$74,482.00 "
2015,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2015 0:00,11/2/2015 0:00,Alameda,Investor Owned,22293,"$5,331,774.00 ","$6,176,735.00 ","$1,817,358.00 ","$10,625.00 ",$0.00 ,"$961,772.00 "
2014,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,26426,"$6,239,538.00 ","$6,768,396.00 ",($160.00),"$12,590.00 ",$0.00 ,"($541,608.00)"
2013,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,26733,"$6,998,923.00 ","$6,908,097.00 ",$0.00 ,"$14,540.00 ",$0.00 ,"$76,286.00 "
2012,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25172,"$6,496,848.00 ","$6,566,289.00 ",$31.00 ,"$12,590.00 ",$0.00 ,"($82,000.00)"
2011,206010774,CASTRO VALLEY HEALTHCARE & REHAB CTR,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,26703,"$6,936,523.00 ","$6,422,595.00 ",$186.00 ,"$13,390.00 ",$0.00 ,"$500,724.00 "
2015,206010797,FREMONT HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,39163,"$13,913,534.00 ","$12,592,131.00 ","$2,371.00 ",$0.00 ,$0.00 ,"$1,323,774.00 "
2014,206010797,FREMONT HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,39446,"$13,483,571.00 ","$12,400,418.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,083,153.00 "
2013,206010797,FREMONT HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,37915,"$13,064,518.00 ","$11,719,633.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,344,885.00 "
2012,206010797,FREMONT HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,38212,"$13,193,252.00 ","$11,452,344.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,740,908.00 "
2011,206010797,FREMONT HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,38802,"$13,280,549.00 ","$11,488,216.00 ",$734.00 ,$0.00 ,$0.00 ,"$1,793,067.00 "
2015,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,29813,"$9,793,809.00 ","$9,295,189.00 ",$0.00 ,$0.00 ,$0.00 ,"$498,620.00 "
2014,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,29633,"$9,146,660.00 ","$9,174,327.00 ",$0.00 ,$0.00 ,$0.00 ,"($27,667.00)"
2013,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,30008,"$9,515,880.00 ","$9,265,874.00 ",$0.00 ,$0.00 ,$0.00 ,"$250,006.00 "
2012,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,29387,"$8,690,583.00 ","$8,794,212.00 ",$0.00 ,$0.00 ,$0.00 ,"($103,629.00)"
2011,206010798,DRIFTWOOD HEALTHCARE CENTER-HAYWARD,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,29316,"$8,728,103.00 ","$8,523,877.00 ",$302.00 ,$0.00 ,$0.00 ,"$204,528.00 "
2015,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2014 0:00,8/31/2015 0:00,Alameda,Investor Owned,34494,"$11,235,896.00 ","$9,942,383.00 ","$15,678.00 ","$12,590.00 ",$0.00 ,"$1,296,601.00 "
2014,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2013 0:00,8/31/2014 0:00,Alameda,Investor Owned,34221,"$10,189,333.00 ","$9,486,786.00 ","($29,665.00)","$12,590.00 ",$0.00 ,"$660,292.00 "
2013,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2012 0:00,8/31/2013 0:00,Alameda,Investor Owned,33774,"$10,625,106.00 ","$9,369,041.00 ","$39,094.00 ","$13,112.00 ",$0.00 ,"$1,282,047.00 "
2012,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2011 0:00,8/31/2012 0:00,Alameda,Investor Owned,34274,"$10,582,170.00 ","$8,867,292.00 ",$17.00 ,"$15,040.00 ",$0.00 ,"$1,699,855.00 "
2011,206010806,HAYWARD HEALTHCARE & WELLNESS CENTER,9/1/2010 0:00,8/31/2011 0:00,Alameda,Investor Owned,34537,"$9,582,980.00 ","$8,307,088.00 ",$176.00 ,"$13,134.00 ",$0.00 ,"$1,262,934.00 "
2015,206010807,ELMWOOD CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,25385,"$9,016,976.00 ","$8,167,647.00 ","$5,630.00 ","$13,390.00 ",$0.00 ,"$841,569.00 "
2014,206010807,ELMWOOD CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,26133,"$9,600,785.00 ","$8,310,687.00 ","$5,107.00 ","$19,428.00 ",$0.00 ,"$1,275,777.00 "
2013,206010807,ELMWOOD CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,26028,"$8,513,648.00 ","$7,808,938.00 ","$5,017.00 ","$10,320.00 ",$0.00 ,"$699,407.00 "
2012,206010807,ELMWOOD CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25312,"$7,980,074.00 ","$7,230,596.00 ","$7,430.00 ","$11,354.00 ",$0.00 ,"$745,554.00 "
2011,206010807,ELMWOOD CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,25630,"$8,677,257.00 ","$7,441,031.00 ",$0.00 ,"$18,445.00 ",$0.00 ,"$1,217,781.00 "
2015,206010808,BAY AREA HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,28306,"$13,285,406.00 ","$12,752,712.00 ",$0.00 ,$0.00 ,$0.00 ,"$532,694.00 "
2014,206010808,BAY AREA HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,27096,"$11,992,653.00 ","$11,758,101.00 ","($28,269.00)",$0.00 ,$0.00 ,"$206,283.00 "
2013,206010808,BAY AREA HEALTHCARE CENTER,11/1/2012 0:00,12/31/2013 0:00,Alameda,Investor Owned,30923,"$9,924,546.00 ","$9,707,697.00 ",$0.00 ,$0.00 ,$0.00 ,"$216,849.00 "
2012,206010808,BAY AREA HEALTHCARE CENTER,11/1/2011 0:00,10/31/2012 0:00,Alameda,Investor Owned,23432,"$4,615,016.00 ","$5,837,076.00 ",$0.00 ,$0.00 ,$0.00 ,"($1,222,060.00)"
2015,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,23149,"$9,191,368.00 ","$8,334,517.00 ","$6,082.00 ",$0.00 ,$0.00 ,"$862,933.00 "
2014,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,22695,"$8,935,631.00 ","$8,053,835.00 ","$4,202.00 ",$0.00 ,$0.00 ,"$885,998.00 "
2013,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,22683,"$8,517,495.00 ","$7,759,838.00 ",$94.00 ,$0.00 ,$0.00 ,"$757,751.00 "
2012,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,22761,"$8,347,057.00 ","$7,299,024.00 ",$7.00 ,$0.00 ,$0.00 ,"$1,048,040.00 "
2011,206010815,CRESTWOOD TREATMENT CENTER-FREMONT,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,22402,"$8,159,779.00 ","$6,928,710.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,231,069.00 "
2015,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,32496,"$10,735,794.00 ","$10,354,975.00 ","($5,500.00)","$12,590.00 ",$0.00 ,"$362,729.00 "
2014,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,32729,"$10,523,730.00 ","$10,400,983.00 ","$1,697.00 ","$12,590.00 ",$0.00 ,"$111,854.00 "
2013,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,32770,"$10,995,348.00 ","$10,403,095.00 ",$0.00 ,$0.00 ,$0.00 ,"$592,253.00 "
2012,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,32675,"$8,864,915.00 ","$9,025,291.00 ",$0.00 ,$0.00 ,$0.00 ,"($160,376.00)"
2011,206010824,WINDSOR POST ACUTE CARE CENTER OF HAYWARD,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,32876,"$8,140,873.00 ","$8,583,952.00 ",$0.00 ,$0.00 ,$0.00 ,"($443,079.00)"
2015,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2014 0:00,6/30/2015 0:00,Alameda,Investor Owned,26926,"$10,489,360.00 ","$9,714,918.00 ",$0.00 ,$0.00 ,$0.00 ,"$774,442.00 "
2014,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2013 0:00,6/30/2014 0:00,Alameda,Investor Owned,26932,"$9,482,275.00 ","$8,815,639.00 ",$0.00 ,$0.00 ,$0.00 ,"$666,636.00 "
2013,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2012 0:00,6/30/2013 0:00,Alameda,Investor Owned,27382,"$9,366,696.00 ","$8,787,495.00 ",$0.00 ,$0.00 ,$0.00 ,"$579,201.00 "
2012,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2011 0:00,6/30/2012 0:00,Alameda,Investor Owned,27201,"$8,939,745.00 ","$8,201,702.00 ",$0.00 ,$0.00 ,"($24,288.00)","$762,331.00 "
2011,206010825,KINDRED NURSING AND HEALTHCARE - LIVERMORE,7/1/2010 0:00,6/30/2011 0:00,Alameda,Investor Owned,27483,"$8,906,210.00 ","$7,914,590.00 ",$0.00 ,$0.00 ,"($4,481.00)","$996,101.00 "
2015,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,31376,"$7,311,086.00 ","$7,884,508.00 ",$341.00 ,$800.00 ,$0.00 ,"($573,881.00)"
2014,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,32689,"$7,647,197.00 ","$8,525,669.00 ",$226.00 ,$800.00 ,"($331,845.00)","($547,201.00)"
2013,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,31915,"$7,302,452.00 ","$8,248,084.00 ","$521,076.00 ",$800.00 ,$0.00 ,"($425,356.00)"
2012,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,34056,"$7,826,570.00 ","$7,899,232.00 ",$4.00 ,"$1,050.00 ",$0.00 ,"($73,708.00)"
2011,206010831,HAYWARD CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,32161,"$7,861,355.00 ","$8,094,446.00 ",$0.00 ,$800.00 ,$0.00 ,"($233,891.00)"
2015,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,25751,"$10,146,601.00 ","$8,705,687.00 ",$458.00 ,$0.00 ,$0.00 ,"$1,441,372.00 "
2014,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,25913,"$9,061,700.00 ","$8,075,525.00 ",$0.00 ,$0.00 ,$0.00 ,"$986,175.00 "
2013,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,25562,"$8,608,728.00 ","$7,581,541.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,027,187.00 "
2012,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,25071,"$8,062,807.00 ","$7,382,059.00 ",$0.00 ,$0.00 ,$0.00 ,"$680,748.00 "
2011,206010832,HAYWARD HILLS HEALTH CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,24418,"$9,151,256.00 ","$7,705,839.00 ",$242.00 ,$0.00 ,$0.00 ,"$1,445,659.00 "
2014,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,15380,"$3,177,948.00 ","$3,452,133.00 ","($14,457.00)",$208.00 ,$0.00 ,"($288,850.00)"
2013,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,14668,"$3,178,972.00 ","$3,409,768.00 ","$14,703.00 ","$13,383.00 ",$0.00 ,"($229,476.00)"
2012,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,14622,"$3,464,004.00 ","$3,321,594.00 ","$1,782.00 ","$50,800.00 ",$0.00 ,"$93,392.00 "
2011,206010845,OAKHILL SPRINGS CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,14982,"$3,149,714.00 ","$3,100,004.00 ","$29,811.00 ","$6,800.00 ",$0.00 ,"$72,721.00 "
2015,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2014 0:00,8/31/2015 0:00,Alameda,Investor Owned,33516,"$12,214,098.00 ","$10,779,972.00 ","$24,808.00 ","$12,590.00 ",$0.00 ,"$1,446,344.00 "
2014,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2013 0:00,8/31/2014 0:00,Alameda,Investor Owned,33293,"$12,405,329.00 ","$10,943,363.00 ","($15,222.00)","$12,590.00 ",$0.00 ,"$1,434,154.00 "
2013,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2012 0:00,8/31/2013 0:00,Alameda,Investor Owned,32069,"$11,808,395.00 ","$10,285,686.00 ","$39,637.00 ","$13,112.00 ",$0.00 ,"$1,549,234.00 "
2012,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2011 0:00,8/31/2012 0:00,Alameda,Investor Owned,33351,"$12,567,730.00 ","$10,088,986.00 ",$840.00 ,"$14,432.00 ",$0.00 ,"$2,465,152.00 "
2011,206010848,OAKLAND HEALTHCARE & WELLNESS CENTER,9/1/2010 0:00,8/31/2011 0:00,Alameda,Investor Owned,31461,"$11,128,377.00 ","$8,689,925.00 ",$134.00 ,"$13,125.00 ",$0.00 ,"$2,425,461.00 "
2015,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,21921,"$7,452,310.00 ","$6,672,390.00 ","$124,400.00 ",$800.00 ,$0.00 ,"$903,520.00 "
2014,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,21844,"$7,303,376.00 ","$7,072,728.00 ","$81,973.00 ",$800.00 ,$0.00 ,"$311,821.00 "
2013,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,21950,"$7,307,397.00 ","$6,697,573.00 ","$309,045.00 ",$800.00 ,$0.00 ,"$918,069.00 "
2012,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,21992,"$6,488,355.00 ","$6,408,153.00 ","$41,546.00 ","$2,077.00 ",$0.00 ,"$119,671.00 "
2011,206010851,BELLAKEN SKILLED NURSING CENTER,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,21963,"$6,653,557.00 ","$6,238,518.00 ","$165,555.00 ","$8,625.00 ",$0.00 ,"$571,969.00 "
2015,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,3/1/2015 0:00,12/31/2015 0:00,Alameda,Investor Owned,20039,"$9,153,235.00 ","$9,361,155.00 ",$0.00 ,"$12,590.00 ",$0.00 ,"($220,510.00)"
2014,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2014 0:00,12/31/2014 0:00,Alameda,Investor Owned,24337,"$10,793,300.00 ","$11,545,514.00 ","$19,691.00 ",$800.00 ,$0.00 ,"($733,323.00)"
2013,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2013 0:00,12/31/2013 0:00,Alameda,Investor Owned,27370,"$13,705,534.00 ","$13,643,758.00 ",$429.00 ,$800.00 ,$0.00 ,"$61,405.00 "
2012,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2012 0:00,12/31/2012 0:00,Alameda,Investor Owned,27747,"$14,013,273.00 ","$13,597,959.00 ","$1,895.00 ",$800.00 ,$0.00 ,"$416,409.00 "
2011,206010854,PROVIDENCE ALL SAINT'S SUBACUTE,1/1/2011 0:00,12/31/2011 0:00,Alameda,Investor Owned,28258,"$13,591,977.00 ","$13,281,104.00 ",$83.00 ,$800.00 ,$0.00 ,"$310,156.00 "
